AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,170
15-19 years,Male,Manningham,Tertiary - University or other higher education,Health,6
15-19 years,Male,Manningham,Tertiary - University or other higher education,Management and Commerce,7
15-19 years,Male,Manningham,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",4
15-19 years,Male,Manningham,Tertiary - University or other higher education,Field of study inadequately described,3
15-19 years,Male,Manningham,Tertiary - University or other higher education,Not applicable,645
15-19 years,Male,Mansfield,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16
15-19 years,Male,Mansfield,Tertiary - University or other higher education,Not applicable,7
15-19 years,Male,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7
15-19 years,Male,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
15-19 years,Male,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
15-19 years,Male,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,65
15-19 years,Male,Maribyrnong,Tertiary - University or other higher education,Engineering and Related Technologies,3
15-19 years,Male,Maribyrnong,Tertiary - University or other higher education,Not applicable,280
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,12
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,11
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
15-19 years,Male,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,210
15-19 years,Male,Maroondah,Tertiary - University or other higher education,Information Technology,5
15-19 years,Male,Maroondah,Tertiary - University or other higher education,Management and Commerce,3
15-19 years,Male,Maroondah,Tertiary - University or other higher education,Not applicable,322
15-19 years,Male,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
15-19 years,Male,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,17
15-19 years,Male,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
15-19 years,Male,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,101
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Natural and Physical Sciences,8
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Information Technology,9
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Engineering and Related Technologies,14
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Education,5
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Management and Commerce,25
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Society and Culture,14
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Creative Arts,23
15-19 years,Male,Melbourne,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",11
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Mixed Field Programmes,13
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Field of study inadequately described,5
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Field of study not stated,11
15-19 years,Male,Melbourne,Tertiary - University or other higher education,Not applicable,1251
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,26
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,17
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
15-19 years,Male,Melton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,297
15-19 years,Male,Melton,Tertiary - University or other higher education,Natural and Physical Sciences,4
15-19 years,Male,Melton,Tertiary - University or other higher education,Information Technology,4
15-19 years,Male,Melton,Tertiary - University or other higher education,Education,3
15-19 years,Male,Melton,Tertiary - University or other higher education,Management and Commerce,12
15-19 years,Male,Melton,Tertiary - University or other higher education,Society and Culture,9
15-19 years,Male,Melton,Tertiary - University or other higher education,Creative Arts,8
15-19 years,Male,Melton,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
15-19 years,Male,Melton,Tertiary - University or other higher education,Not applicable,553
15-19 years,Male,Melton,Tertiary - not further defined,Not applicable,5
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,108
15-19 years,Male,Mildura,Tertiary - University or other higher education,Engineering and Related Technologies,4
15-19 years,Male,Mildura,Tertiary - University or other higher education,Not applicable,30
15-19 years,Male,Mitchell,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11
