AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3,473187.717,5966339.009
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,452360.943,5993504.024
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,508279.761,5990350.491
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,480709.374,5982091.536
15-19 years,Male,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,50,507290.282,5976041.361
15-19 years,Male,Indigo,Tertiary - University or other higher education,Not applicable,10,460425.697,5999552.791
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8,331150.141,5792929.952
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,16,334230.975,5798552.618
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7,336409.522,5793349.926
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,336169.827,5793758.07
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,335433.834,5793993.476
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,336257.527,5795291.089
15-19 years,Male,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,258,330211.265,5787933.507
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,5,333292.592,5797871.411
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Information Technology,5,334250.499,5791446.948
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Management and Commerce,9,333452.997,5795934.42
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Society and Culture,4,335488.44,5793039.146
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Creative Arts,9,337124.673,5787544.421
15-19 years,Male,Kingston (Vic.),Tertiary - University or other higher education,Not applicable,529,332391.414,5798552.618
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4,343620.382,5802849.949
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,348450.459,5806855.097
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,19,345499.037,5807901.288
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",7,342624.515,5806787.103
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Health,3,345703.843,5800651.279
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,341979.224,5808175.198
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,349649.443,5801000.936
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,348371.941,5806759.822
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,345780.085,5807623.27
15-19 years,Male,Knox,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,295,342606.574,5808249.637
15-19 years,Male,Knox,Tertiary - University or other higher education,Natural and Physical Sciences,3,345346.434,5807280.203
15-19 years,Male,Knox,Tertiary - University or other higher education,Information Technology,4,345346.434,5804916.245
15-19 years,Male,Knox,Tertiary - University or other higher education,Engineering and Related Technologies,3,348752.198,5801000.936
15-19 years,Male,Knox,Tertiary - University or other higher education,Health,4,348992.91,5806564.09
15-19 years,Male,Knox,Tertiary - University or other higher education,Management and Commerce,4,346464.57,5800522.701
15-19 years,Male,Knox,Tertiary - University or other higher education,Society and Culture,8,342083.821,5800618.796
15-19 years,Male,Knox,Tertiary - University or other higher education,Creative Arts,7,354099.571,5809133.124
15-19 years,Male,Knox,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5,344678.222,5806564.09
15-19 years,Male,Knox,Tertiary - University or other higher education,Field of study not stated,10,345090.278,5800138.913
15-19 years,Male,Knox,Tertiary - University or other higher education,Not applicable,584,348677.824,5799094.995
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11,452335.425,5766371.004
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,9,456294.281,5770780.928
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,444910.048,5779134.693
15-19 years,Male,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,152,454370.765,5776020.456
15-19 years,Male,Latrobe (Vic.),Tertiary - University or other higher education,Field of study not stated,7,439309.922,5780414.044
15-19 years,Male,Latrobe (Vic.),Tertiary - University or other higher education,Not applicable,67,453678.358,5762560.571
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,224560.183,5940573.123
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,186726.883,5941673.684
15-19 years,Male,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,6,243426.19,5973578.808
15-19 years,Male,Loddon,Tertiary - University or other higher education,Not applicable,6,224560.183,5998332.608
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,282741.92,5856253.113
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,266590.279,5856253.113
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,286666.863,5857592.369
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,294883.331,5874693.431
15-19 years,Male,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,120,284954.63,5880346.007
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Health,3,297503.255,5854269.828
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Society and Culture,4,276402.323,5871803.492
15-19 years,Male,Macedon Ranges,Tertiary - University or other higher education,Not applicable,111,282107.063,5858071.666
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4,340757.669,5818726.256
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,345972.535,5818264.098
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,340934.449,5823065.513
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,347277.605,5815850.845
15-19 years,Male,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,170,348448.403,5821559.255
15-19 years,Male,Manningham,Tertiary - University or other higher education,Health,6,337612.318,5821839.72
15-19 years,Male,Manningham,Tertiary - University or other higher education,Management and Commerce,7,330636.162,5820472.677
15-19 years,Male,Manningham,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",4,342756.587,5820438.025
15-19 years,Male,Manningham,Tertiary - University or other higher education,Field of study inadequately described,3,333810.349,5822850.107
